District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Away_Households,State,District,Latitude,Longitude,sex ratio,literacy_rate,male_literacy_rate,female_literacy_rate
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,18,88929,8266,3763,1222,38622,10341,108239,604,1171,20126,28,4,289,3285,15824,235,1005,40370,7774,48144,12732,19083,20874,16938,9826,3077,408,82938,39854,122792,87532,35561,17488,221,3289,323,2641,907,4068,9218,1963,197,10769,19,7031,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,81.0,61.0,72.0,48.0
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,556,315442,54264,31583,3930,71616,32604,431279,958,11188,83,10,2,711,13160,62900,346,3342,132139,15269,147408,55762,72024,69219,46062,29517,13962,1884,288430,164044,452474,304979,109818,61334,704,4036,12448,1351,5351,19458,33146,17078,308,43697,234,38654,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,89.0,55.0,65.0,44.0
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,141224,416004,69533,21566,3952,105380,540063,64234,1828,9551,24,16,2,717,32772,109422,1443,6112,181374,33473,214847,69396,82715,106411,91522,47694,24330,4504,426572,181297,607869,357864,160123,97684,764,31020,8978,860,5595,16204,36594,52019,771,61227,3438,29223,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,89.0,63.0,70.0,55.0
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,1068,829641,12228,10408,20095,364457,42540,1177342,2746,12187,285,74,2,1653,138119,165403,16413,33831,4518,257721,262239,88911,173309,178723,176409,132727,121856,32114,904049,310225,1214274,693238,351561,190330,1700,1563,55,669,317,1105,7457,157176,64,164426,692,2815,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,90.0,61.0,66.0,54.0
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,402,372020,49746,34080,10615,93979,13840,535159,1109,9440,35,6,18,833,16828,73629,1537,5293,147520,21703,169223,36201,54808,73991,67368,40931,31286,5897,310482,190369,500851,342601,137032,80111,696,13347,660,8108,929,10127,19320,50893,430,56749,3413,11028,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,91.0,52.0,61.0,43.0
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,53408,258024,69947,12199,1932,67834,187621,220614,472,422,21,22,42,722,7963,61831,596,3077,122267,11350,133617,43794,47350,62719,48359,31416,12647,1846,248131,163565,411696,263576,93189,52744,427,202,4545,978,2063,7847,35304,25054,261,66002,60,18262,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,92.0,53.0,65.0,41.0
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,138569,311313,113020,11396,2641,116615,489044,59771,1962,3418,106,57,235,392,20008,73999,1214,5744,148664,34696,183360,58567,80129,86008,55024,29657,17345,4030,330760,194838,525598,339145,140785,74757,298,4742,21428,1825,5848,29883,36891,21585,782,47796,166,35086,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,87.0,58.0,67.0,48.0
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,377991,1021336,68613,36873,10589,392547,1289240,107489,12104,114272,470,1987,321,4075,197168,294739,19905,46657,254566,248043,502609,135391,185962,253542,261852,159257,146501,30616,1173121,268279,1441400,816827,435895,275585,1651,117098,1716,671,3680,7748,46394,233123,1681,168693,8076,22499,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,88.0,74.0,79.0,69.0
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,111690,225045,196665,9193,4521,83656,479782,32455,1559,2745,1740,57,14,728,21458,96082,1615,5117,186395,13836,200231,56272,96789,67653,64515,40440,15506,3252,344427,154575,499002,306555,130606,81566,353,1031,1834,371,1749,4108,55088,36220,154,96451,9,10664,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,99.0,62.0,71.0,53.0
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,319385,834905,303007,54849,15662,301652,1461140,19797,3023,8929,14511,194,208,2273,148361,330081,8053,22753,588321,39007,627328,127699,243617,223099,284124,192936,91236,13577,1176288,271892,1448180,766581,419172,319420,4902,18358,1441,237,3377,5699,105689,200604,644,301016,1716,30114,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,101.0,76.0,81.0,72.0
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,122659,168819,197141,12372,2707,56864,415669,2974,1568,1396,15377,94,83,742,40064,91322,2623,7010,167995,20709,188704,48384,77363,61854,58122,39081,23168,2377,310349,103136,413485,244727,120510,72282,384,1753,794,610,2918,4773,38399,46354,451,87848,271,10792,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,94.0,70.0,77.0,63.0
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,293739,427106,387944,15822,7134,161771,981412,9460,876,4081,2628,43,86,1191,59324,214491,5333,16401,431129,31696,462825,100052,159043,132147,180188,128549,54139,9350,763468,218570,982038,524285,279321,194661,1510,1860,470,455,2854,4828,84301,123062,1049,209375,142,12631,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,101.0,72.0,79.0,66.0
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,109256,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,196116,15232,211348,37327,71107,72114,91184,64363,35620,5263,376978,72551,449529,224044,123941,106641,142,5691,91,22,353,606,29624,69696,140,94807,208,5748,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,110.0,79.0,83.0,75.0
